Account,Date,Tweet Text,Compound,Positive,Neutral,Negative
@BBC,2018-03-20 08:25:06+00:00,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ⭐️ https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL,0.0,0.0,1.0,0.0
@BBC,2018-03-20 08:03:03+00:00,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. 🏆… https://t.co/jv5wlpmlyT,0.0,0.0,1.0,0.0
@BBC,2018-03-19 19:33:04+00:00,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",-0.3818,0.0,0.89,0.11
@BBC,2018-03-19 18:33:05+00:00,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",0.1531,0.175,0.709,0.116
@BBC,2018-03-19 18:03:01+00:00,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",-0.1027,0.0,0.92,0.08
@BBC,2018-03-19 17:30:08+00:00,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,0.0,0.0,1.0,0.0
@BBC,2018-03-19 17:00:05+00:00,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",-0.7096,0.144,0.442,0.414
@BBC,2018-03-19 16:33:29+00:00,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,0.0,0.0,1.0,0.0
@BBC,2018-03-19 15:02:02+00:00,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,0.0,0.0,1.0,0.0
@BBC,2018-03-19 14:30:08+00:00,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",0.0,0.0,1.0,0.0
@BBC,2018-03-19 13:44:55+00:00,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…",0.6588,0.212,0.788,0.0
@BBC,2018-03-19 13:03:04+00:00,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",-0.3412,0.0,0.888,0.112
@BBC,2018-03-19 12:55:17+00:00,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i,0.0,0.0,1.0,0.0
@BBC,2018-03-19 12:30:05+00:00,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,0.0,0.0,1.0,0.0
@BBC,2018-03-19 11:50:58+00:00,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,-0.0516,0.0,0.893,0.107
@BBC,2018-03-19 11:33:04+00:00,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc",0.4588,0.143,0.857,0.0
@BBC,2018-03-19 10:53:19+00:00,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",0.0,0.0,1.0,0.0
@BBC,2018-03-19 10:33:03+00:00,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,0.5106,0.163,0.837,0.0
@BBC,2018-03-19 09:58:24+00:00,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu",-0.3818,0.0,0.809,0.191
@BBC,2018-03-19 09:58:15+00:00,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",0.4199,0.157,0.843,0.0
@BBC,2018-03-19 09:58:10+00:00,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",0.0,0.0,1.0,0.0
@BBC,2018-03-19 09:57:58+00:00,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,0.128,0.133,0.789,0.079
@BBC,2018-03-19 09:32:02+00:00,"'Who wants a normal life?' We should all be a little more like @chessmartinez. 👏💖 #LiveAtTheApollo

https://t.co/VddL8zWJfS",0.3642,0.152,0.848,0.0
@BBC,2018-03-19 09:27:50+00:00,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",0.0,0.0,1.0,0.0
@BBC,2018-03-19 08:45:02+00:00,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,0.5994,0.262,0.738,0.0
@BBC,2018-03-19 08:02:00+00:00,"🤔 Should we still be worried about the hole in the ozone layer?

🌤 @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",-0.296,0.0,0.891,0.109
@BBC,2018-03-18 20:30:11+00:00,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",0.0,0.0,1.0,0.0
@BBC,2018-03-18 20:03:04+00:00,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,0.0258,0.09,0.824,0.086
@BBC,2018-03-18 19:33:04+00:00,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",0.5994,0.197,0.803,0.0
@BBC,2018-03-18 18:44:02+00:00,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",-0.5994,0.0,0.837,0.163
@BBC,2018-03-18 18:34:14+00:00,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",0.204,0.151,0.772,0.077
@BBC,2018-03-18 17:18:12+00:00,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",0.7331,0.34,0.66,0.0
@BBC,2018-03-18 17:04:03+00:00,"🍎🗑 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",0.0,0.0,1.0,0.0
@BBC,2018-03-18 16:33:17+00:00,"❤️️📸Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

👉… https://t.co/LodRrr27fd",0.0,0.0,1.0,0.0
@BBC,2018-03-18 15:41:04+00:00,"🤰 A doctor explains why you can get pregnant and give birth without having a baby bump. 
👉 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",0.0,0.0,1.0,0.0
@BBC,2018-03-18 14:33:07+00:00,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,0.0772,0.053,0.947,0.0
@BBC,2018-03-18 14:28:23+00:00,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,0.0,0.0,1.0,0.0
@BBC,2018-03-18 14:18:01+00:00,📱🚗 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,0.0,0.0,1.0,0.0
